country,year,GDP per capita
Afghanistan,1990,1480
Afghanistan,1991,1360
Afghanistan,1992,1310
Afghanistan,1993,897
Afghanistan,1994,666
Afghanistan,1995,986
Afghanistan,1996,937
Afghanistan,1997,892
Afghanistan,1998,854
Afghanistan,1999,815
Afghanistan,2000,791
Afghanistan,2001,772
Afghanistan,2002,1260
Afghanistan,2003,1280
Afghanistan,2004,1260
Afghanistan,2005,1350
Afghanistan,2006,1370
Afghanistan,2007,1540
Afghanistan,2008,1560
Afghanistan,2009,1830
Afghanistan,2010,2030
Angola,1990,4210
Angola,1991,4250
Angola,1992,3990
Angola,1993,3020
Angola,1994,3040
Angola,1995,3470
Angola,1996,3900
Angola,1997,4140
Angola,1998,4270
Angola,1999,4310
Angola,2000,4370
Angola,2001,4480
Angola,2002,4990
Angola,2003,5030
Angola,2004,5440
Angola,2005,6100
Angola,2006,6630
Angola,2007,7340
Angola,2008,7870
Angola,2009,7640
Angola,2010,7690
Albania,1990,5020
Albania,1991,3650
Albania,1992,3430
Albania,1993,3770
Albania,1994,4090
Albania,1995,4600
Albania,1996,5020
Albania,1997,4490
Albania,1998,4910
Albania,1999,5580
Albania,2000,6000
Albania,2001,6550
Albania,2002,6870
Albania,2003,7270
Albania,2004,7690
Albania,2005,8140
Albania,2006,8660
Albania,2007,9220
Albania,2008,9960
Albania,2009,10.3k
Albania,2010,10.8k
Andorra,1990,42.7k
Andorra,1991,42.2k
Andorra,1992,41k
Andorra,1993,39.3k
Andorra,1994,39.2k
Andorra,1995,39.6k
Andorra,1996,41.2k
Andorra,1997,45.2k
Andorra,1998,46.9k
Andorra,1999,48.7k
Andorra,2000,48.3k
Andorra,2001,48.6k
Andorra,2002,48.8k
Andorra,2003,52.9k
Andorra,2004,55.8k
Andorra,2005,61.2k
Andorra,2006,65.9k
Andorra,2007,67.1k
Andorra,2008,64.1k
Andorra,2009,64.6k
Andorra,2010,60.5k
United Arab Emirates,1990,74.5k
United Arab Emirates,1991,74.2k
United Arab Emirates,1992,75.2k
United Arab Emirates,1993,75.1k
United Arab Emirates,1994,79.2k
United Arab Emirates,1995,83.3k
United Arab Emirates,1996,85.8k
United Arab Emirates,1997,89.6k
United Arab Emirates,1998,86.7k
United Arab Emirates,1999,86k
United Arab Emirates,2000,92k
United Arab Emirates,2001,89.9k
United Arab Emirates,2002,88.7k
United Arab Emirates,2003,92.8k
United Arab Emirates,2004,97.6k
United Arab Emirates,2005,95.8k
United Arab Emirates,2006,92.4k
United Arab Emirates,2007,79.9k
United Arab Emirates,2008,69.4k
United Arab Emirates,2009,57.4k
United Arab Emirates,2010,54.7k
Argentina,1990,14.2k
Argentina,1991,15.3k
Argentina,1992,16.4k
Argentina,1993,17.4k
Argentina,1994,18.2k
Argentina,1995,17.5k
Argentina,1996,18.2k
Argentina,1997,19.5k
Argentina,1998,20k
