country,year,INDICE
Afghanistan,1990,60
Afghanistan,1991,60
Afghanistan,1992,60
Afghanistan,1993,60
Afghanistan,1994,60
Afghanistan,1995,150
Afghanistan,1996,150
Afghanistan,1997,150
Afghanistan,1998,150
Afghanistan,1999,150
Afghanistan,2000,150
Afghanistan,2001,150
Afghanistan,2002,150
Afghanistan,2003,150
Afghanistan,2004,350
Afghanistan,2005,350
Afghanistan,2006,350
Afghanistan,2007,350
Afghanistan,2008,350
Afghanistan,2009,350
Afghanistan,2010,350
Angola,1990,600
Angola,1991,1200
Angola,1992,1800
Angola,1993,2500
Angola,1994,3300
Angola,1995,4300
Angola,1996,5300
Angola,1997,6300
Angola,1998,7300
Angola,1999,8200
Angola,2000,9200
Angola,2001,10k
Angola,2002,11k
Angola,2003,12k
Angola,2004,12k
Angola,2005,13k
Angola,2006,13k
Angola,2007,13k
Angola,2008,12k
Angola,2009,11k
Angola,2010,
Argentina,1990,3000
Argentina,1991,3200
Argentina,1992,3400
Argentina,1993,3600
Argentina,1994,3800
Argentina,1995,3500
Argentina,1996,3200
Argentina,1997,3100
Argentina,1998,3000
Argentina,1999,3000
Argentina,2000,2700
Argentina,2001,2800
Argentina,2002,2800
Argentina,2003,2900
Argentina,2004,3100
Argentina,2005,3200
Argentina,2006,3200
Argentina,2007,3200
Argentina,2008,3000
Argentina,2009,2900
Argentina,2010,
Armenia,1990,60
Armenia,1991,60
Armenia,1992,60
Armenia,1993,60
Armenia,1994,60
Armenia,1995,60
Armenia,1996,60
Armenia,1997,60
Armenia,1998,60
Armenia,1999,150
Armenia,2000,150
Armenia,2001,150
Armenia,2002,350
Armenia,2003,350
Armenia,2004,350
Armenia,2005,350
Armenia,2006,350
Armenia,2007,350
Armenia,2008,350
Armenia,2009,350
Armenia,2010,350
Australia,1990,350
Australia,1991,600
Australia,1992,600
Australia,1993,600
Australia,1994,600
Australia,1995,600
Australia,1996,600
Australia,1997,350
Australia,1998,350
Australia,1999,350
Australia,2000,150
Australia,2001,150
Australia,2002,150
Australia,2003,150
Australia,2004,150
Australia,2005,150
Australia,2006,150
Australia,2007,150
Australia,2008,150
Australia,2009,150
Australia,2010,150
Austria,1990,60
Austria,1991,60
Austria,1992,60
Austria,1993,60
Austria,1994,60
Austria,1995,60
Austria,1996,60
Austria,1997,60
Austria,1998,60
Austria,1999,60
Austria,2000,60
Austria,2001,60
Austria,2002,60
Austria,2003,60
Austria,2004,60
Austria,2005,60
Austria,2006,60
Austria,2007,60
Austria,2008,60
Austria,2009,60
Austria,2010,60
Azerbaijan,1990,60
Azerbaijan,1991,60
Azerbaijan,1992,60
Azerbaijan,1993,60
Azerbaijan,1994,60
Azerbaijan,1995,60
Azerbaijan,1996,60
Azerbaijan,1997,60
Azerbaijan,1998,60
Azerbaijan,1999,60
Azerbaijan,2000,150
Azerbaijan,2001,150
Azerbaijan,2002,150
Azerbaijan,2003,350
Azerbaijan,2004,350
Azerbaijan,2005,350
Azerbaijan,2006,350
Azerbaijan,2007,350
Azerbaijan,2008,350
Azerbaijan,2009,350
